Topic,1,2,3,4,5,6
Graeco-Arabic translation movement,Post-classical,Post-classical: General,,,,
Mongol Empire,Post-classical,Post-classical: General,,,,
Division of the Mongol Empire,Post-classical,Post-classical: General,Mongol Empire,,,
Mongol invasions and conquests,Post-classical,Post-classical: General,Mongol Empire,,,
Military of the Mongol Empire,Post-classical,Post-classical: General,Mongol Empire,,,
Pax Mongolica,Post-classical,Post-classical: General,Mongol Empire,,,
Nobility,Post-classical,Post-classical: General,,,,
Boyar,Post-classical,Post-classical: General,Nobility,,,
Chinese nobility,Post-classical,Post-classical: General,Nobility,,,
Knight,Post-classical,Post-classical: General,Nobility,,,
Royal intermarriage,Post-classical,Post-classical: General,Nobility,,,
Chivalry,Post-classical,Post-classical: General,Nobility,Royal intermarriage,,
Samurai,Post-classical,Post-classical: General,Nobility,,,
Bushido,Post-classical,Post-classical: General,Nobility,Samurai,,
Plague of Justinian,Post-classical,Post-classical: General,,,,
Spice trade,Post-classical,Post-classical: General,,,,
Trade route,Post-classical,Post-classical: General,,,,
Volcanic winter of 536,Post-classical,Post-classical: General,,,,
Middle Ages,Post-classical,Europe,Europe: General,,,
Early Middle Ages,Post-classical,Europe,Europe: General,Middle Ages,,
High Middle Ages,Post-classical,Europe,Europe: General,Middle Ages,,
Late Middle Ages,Post-classical,Europe,Europe: General,Middle Ages,,
Crisis of the late Middle Ages,Post-classical,Europe,Europe: General,Middle Ages,,
Black Death,Post-classical,Europe,Europe: General,,,
East–West Schism,Post-classical,Europe,Europe: General,,,
Estates of the realm,Post-classical,Europe,Europe: General,,,
House of Habsburg,Post-classical,Europe,Europe: General,,,
House of Medici,Post-classical,Europe,Europe: General,,,
Latin translations of the 12th century,Post-classical,Europe,Europe: General,,,
Mongol invasion of Europe,Post-classical,Europe,Europe: General,,,
Normans,Post-classical,Europe,Europe: General,,,
Route from the Varangians to the Greeks,Post-classical,Europe,Europe: General,,,
Translatio imperii,Post-classical,Europe,Europe: General,,,
Transmission of the Greek Classics,Post-classical,Europe,Europe: General,,,
Volga trade route,Post-classical,Europe,Europe: General,,,
Antipope,Post-classical,Europe,Western Europe,,,
Austrasia,Post-classical,Europe,Western Europe,,,
Avignon Papacy,Post-classical,Europe,Western Europe,,,
Christianization of Scandinavia,Post-classical,Europe,Western Europe,,,
Cluniac Reforms,Post-classical,Europe,Western Europe,,,
County of Flanders,Post-classical,Europe,Western Europe,,,
County of Holland,Post-classical,Europe,Western Europe,,,
Franks,Post-classical,Europe,Western Europe,,,
Free company,Post-classical,Europe,Western Europe,,,
Almogavars,Post-classical,Europe,Western Europe,Free company,,
Condottiero,Post-classical,Europe,Western Europe,Free company,,
Frisian freedom,Post-classical,Europe,Western Europe,,,
Hanseatic League,Post-classical,Europe,Western Europe,,,
Holy Roman Empire,Post-classical,Europe,Western Europe,,,
Prince-elector,Post-classical,Europe,Western Europe,Holy Roman Empire,,
Electoral Palatinate,Post-classical,Europe,Western Europe,Holy Roman Empire,Prince-elector,
Electorate of Cologne,Post-classical,Europe,Western Europe,Holy Roman Empire,Prince-elector,
Electorate of Mainz,Post-classical,Europe,Western Europe,Holy Roman Empire,Prince-elector,
Electorate of Saxony,Post-classical,Europe,Western Europe,Holy Roman Empire,Prince-elector,
Electorate of Trier,Post-classical,Europe,Western Europe,Holy Roman Empire,Prince-elector,
Free imperial city,Post-classical,Europe,Western Europe,Holy Roman Empire,,
Ottonian dynasty,Post-classical,Europe,Western Europe,Holy Roman Empire,,
Hohenstaufen,Post-classical,Europe,Western Europe,Holy Roman Empire,,
Interregnum (Holy Roman Empire),Post-classical,Europe,Western Europe,Holy Roman Empire,,
Icelandic Commonwealth,Post-classical,Europe,Western Europe,,,
Inquisition,Post-classical,Europe,Western Europe,,,
Investiture Controversy,Post-classical,Europe,Western Europe,,,
Concordat of Worms,Post-classical,Europe,Western Europe,Investiture Controversy,,
Kalmar Union,Post-classical,Europe,Western Europe,,,
Kingdom of Germany,Post-classical,Europe,Western Europe,,,
Kingdom of Portugal,Post-classical,Europe,Western Europe,,,
Knights Templar,Post-classical,Europe,Western Europe,,,
Lotharingia,Post-classical,Europe,Western Europe,,,
Medieval commune,Post-classical,Europe,Western Europe,,,
Medieval renaissances,Post-classical,Europe,Western Europe,,,
Renaissance of the 12th century,Post-classical,Europe,Western Europe,Medieval renaissances,,
Kingdom of Navarre,Post-classical,Europe,Western Europe,,,
Neustria,Post-classical,Europe,Western Europe,,,
North Sea Empire,Post-classical,Europe,Western Europe,,,
Petty kingdoms of Norway,Post-classical,Europe,Western Europe,,,
Northern Crusades,Post-classical,Europe,Western Europe,,,
Battle on the Ice,Post-classical,Europe,Western Europe,Northern Crusades,,
Old Prussians,Post-classical,Europe,Western Europe,,,
Ostsiedlung,Post-classical,Europe,Western Europe,,,
Peace and Truce of God,Post-classical,Europe,Western Europe,,,
House of Plantagenet,Post-classical,Europe,Western Europe,,,
Salic law,Post-classical,Europe,Western Europe,,,
